record_id,source_split,capture_action,behavior_propensity,target_probability,policy_weight,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
eval_00030,writer_independent_evaluation,long_sweep,0.34768864,0.47000000,1.35178418,27,73,81,100,83,91,78,52,62,14,0,0,29,1,100,5
eval_00031,writer_independent_evaluation,compact_trace,0.53998287,0.32000000,0.59261140,77,96,38,100,58,77,99,86,100,50,84,12,43,0,0,0
eval_00032,writer_independent_evaluation,compact_trace,0.54270277,0.32000000,0.58964136,41,84,73,100,100,82,62,60,97,38,91,8,42,0,0,19
eval_00033,writer_independent_evaluation,long_sweep,0.35491754,0.47000000,1.32425125,32,92,24,47,71,36,38,0,0,0,21,48,49,92,100,100
eval_00034,writer_independent_evaluation,long_sweep,0.34170400,0.47000000,1.37545945,53,100,30,95,0,60,100,55,92,87,77,79,79,37,79,0
eval_00035,writer_independent_evaluation,compact_trace,0.53066263,0.32000000,0.60301967,100,95,75,100,42,70,0,44,42,33,85,49,83,31,85,0
eval_00036,writer_independent_evaluation,compact_trace,0.50698935,0.32000000,0.63117696,0,50,41,69,76,90,100,100,89,74,78,50,70,25,68,0
eval_00037,writer_independent_evaluation,long_sweep,0.33811541,0.47000000,1.39005789,2,75,37,100,56,99,58,61,46,25,0,0,34,5,100,8
eval_00038,writer_independent_evaluation,long_sweep,0.34857602,0.47000000,1.34834289,10,100,0,60,14,18,60,0,100,24,96,66,58,95,19,73
eval_00039,writer_independent_evaluation,compact_trace,0.52558913,0.32000000,0.60884059,79,90,100,93,63,100,82,84,99,61,87,22,44,0,0,19
eval_00040,writer_independent_evaluation,long_sweep,0.34498223,0.47000000,1.36238900,0,88,59,100,89,72,82,40,63,9,28,0,25,25,100,27
eval_00041,writer_independent_evaluation,long_sweep,0.35446713,0.47000000,1.32593395,5,97,9,61,37,25,0,0,7,32,56,64,100,96,37,100
eval_00042,writer_independent_evaluation,long_sweep,0.36679268,0.47000000,1.28137782,59,89,42,23,29,42,25,100,100,82,75,46,98,0,0,3
eval_00043,writer_independent_evaluation,compact_trace,0.53726907,0.32000000,0.59560473,20,100,6,61,25,28,18,0,0,27,11,63,55,75,100,82
eval_00044,writer_independent_evaluation,long_sweep,0.35745975,0.47000000,1.31483334,100,100,49,77,17,51,2,24,24,0,100,10,73,35,0,42
eval_00045,writer_independent_evaluation,long_sweep,0.35605045,0.47000000,1.32003763,29,80,0,41,14,0,70,14,100,53,100,96,49,100,19,62
eval_00046,writer_independent_evaluation,long_sweep,0.36518092,0.47000000,1.28703328,21,87,33,52,62,13,5,0,0,36,74,66,100,100,5,89
eval_00047,writer_independent_evaluation,compact_trace,0.54148441,0.32000000,0.59096808,13,67,40,100,65,78,37,42,0,11,6,4,60,0,100,19
eval_00048,writer_independent_evaluation,long_sweep,0.36259103,0.47000000,1.29622621,5,70,56,44,60,3,0,0,30,39,84,72,100,100,32,74
eval_00049,writer_independent_evaluation,long_sweep,0.35722795,0.47000000,1.31568654,0,94,68,100,89,68,72,33,43,0,3,21,25,50,100,58
eval_00050,writer_independent_evaluation,long_sweep,0.34215773,0.47000000,1.37363548,100,93,48,100,27,69,30,33,16,0,0,26,41,51,100,58
eval_00051,writer_independent_evaluation,compact_trace,0.50649002,0.32000000,0.63179922,0,55,46,58,73,82,100,100,92,75,89,50,84,25,89,0
eval_00052,writer_independent_evaluation,long_sweep,0.34189490,0.47000000,1.37469146,96,66,62,100,32,69,74,62,89,56,100,10,50,0,0,10
eval_00053,writer_independent_evaluation,long_sweep,0.35503818,0.47000000,1.32380128,32,96,70,100,12,95,32,66,89,62,100,22,51,0,0,16
eval_00054,writer_independent_evaluation,compact_trace,0.52455630,0.32000000,0.61003939,79,100,41,82,0,61,23,45,77,37,86,54,86,25,100,0
eval_00055,writer_independent_evaluation,compact_trace,0.54660375,0.32000000,0.58543323,22,72,55,100,54,89,53,50,55,12,0,1,49,0,100,4
eval_00056,writer_independent_evaluation,compact_trace,0.54270885,0.32000000,0.58963476,23,70,51,100,74,82,51,46,20,15,0,4,50,0,100,2
eval_00057,writer_independent_evaluation,compact_trace,0.48148487,0.32000000,0.66461071,88,100,100,95,75,79,38,64,25,47,12,32,0,16,12,0
eval_00058,writer_independent_evaluation,long_sweep,0.35725035,0.47000000,1.31560404,76,100,31,87,1,52,0,14,61,0,100,27,50,42,1,21
eval_00059,writer_independent_evaluation,long_sweep,0.35786181,0.47000000,1.31335612,29,97,0,57,22,10,68,0,100,40,83,90,37,100,12,57
eval_00060,writer_independent_evaluation,long_sweep,0.36069390,0.47000000,1.30304395,53,67,80,44,67,7,0,0,35,36,83,68,100,100,25,80
eval_00061,writer_independent_evaluation,rising_tail,0.26231284,0.43000000,1.63926399,11,45,17,6,55,0,88,25,100,61,79,94,38,100,0,84
eval_00062,writer_independent_evaluation,long_sweep,0.36523001,0.47000000,1.28686031,88,90,18,100,17,66,79,33,49,0,0,28,41,67,100,98
eval_00063,writer_independent_evaluation,long_sweep,0.34805232,0.47000000,1.35037169,75,100,42,78,13,51,0,22,40,0,100,16,88,43,22,35
eval_00064,writer_independent_evaluation,long_sweep,0.33955174,0.47000000,1.38417785,27,82,65,100,100,89,69,62,33,39,0,15,37,1,88,0
eval_00065,writer_independent_evaluation,compact_trace,0.53722211,0.32000000,0.59565680,70,84,11,76,0,91,56,100,99,83,100,55,88,28,75,0
eval_00066,writer_independent_evaluation,long_sweep,0.34559762,0.47000000,1.35996306,88,100,29,100,30,74,85,83,100,67,97,27,57,0,0,5
eval_00067,writer_independent_evaluation,long_sweep,0.36288026,0.47000000,1.29519309,51,54,100,87,36,100,19,62,44,22,2,0,0,37,78,57
eval_00068,writer_independent_evaluation,long_sweep,0.34551874,0.47000000,1.36027355,15,84,0,57,5,17,52,0,95,28,100,67,70,100,20,87
eval_00069,writer_independent_evaluation,compact_trace,0.53185572,0.32000000,0.60166694,0,76,29,95,92,100,81,77,75,56,100,35,85,13,31,0
eval_00070,writer_independent_evaluation,long_sweep,0.34913260,0.47000000,1.34619338,38,65,36,98,100,100,99,69,62,55,96,26,55,0,0,15
eval_00071,writer_independent_evaluation,long_sweep,0.36444801,0.47000000,1.28962152,82,100,8,92,45,60,100,29,52,0,0,24,21,61,53,98
eval_00072,writer_independent_evaluation,compact_trace,0.54398704,0.32000000,0.58824930,0,82,34,100,78,90,49,62,80,49,100,18,62,0,18,13
eval_00073,writer_independent_evaluation,compact_trace,0.54353518,0.32000000,0.58873834,53,64,73,100,70,83,67,42,36,11,0,0,49,4,100,9
eval_00074,writer_independent_evaluation,compact_trace,0.52496561,0.32000000,0.60956374,0,39,30,69,48,100,39,69,41,35,33,5,31,2,100,0
eval_00075,writer_independent_evaluation,compact_trace,0.51573505,0.32000000,0.62047363,12,91,48,100,66,77,77,63,100,42,75,15,34,0,0,15
eval_00076,writer_independent_evaluation,long_sweep,0.35528403,0.47000000,1.32288523,100,89,34,100,0,75,76,78,83,62,90,35,85,8,5,0
eval_00077,writer_independent_evaluation,compact_trace,0.54554930,0.32000000,0.58656477,26,98,24,49,45,13,17,0,0,35,26,72,62,91,100,100
eval_00078,writer_independent_evaluation,compact_trace,0.54548339,0.32000000,0.58663564,61,100,24,88,21,49,26,9,0,0,7,37,51,60,100,78
eval_00079,writer_independent_evaluation,long_sweep,0.35175728,0.47000000,1.33614861,25,76,0,39,15,0,68,1,98,36,100,76,58,100,7,90
eval_00080,writer_independent_evaluation,long_sweep,0.35014866,0.47000000,1.34228701,0,63,37,44,42,6,1,0,25,36,65,67,100,100,46,80
eval_00081,writer_independent_evaluation,long_sweep,0.35045808,0.47000000,1.34110190,62,100,25,91,0,49,7,2,55,0,92,30,100,78,63,100
eval_00082,writer_independent_evaluation,long_sweep,0.34969083,0.47000000,1.34404439,78,99,21,85,0,50,5,14,59,0,100,27,100,65,79,100
eval_00083,writer_independent_evaluation,long_sweep,0.33864363,0.47000000,1.38788969,76,93,24,100,0,72,58,73,74,74,100,42,92,12,37,0
eval_00084,writer_independent_evaluation,compact_trace,0.47502800,0.32000000,0.67364449,100,100,79,86,62,71,50,57,33,43,21,28,8,14,0,0
eval_00085,writer_independent_evaluation,compact_trace,0.50301284,0.32000000,0.63616667,100,98,71,100,42,88,35,55,59,41,61,16,31,3,0,0
eval_00086,writer_independent_evaluation,long_sweep,0.33966855,0.47000000,1.38370184,27,50,56,89,64,100,55,52,35,9,0,2,52,2,100,0
eval_00087,writer_independent_evaluation,compact_trace,0.53843776,0.32000000,0.59431196,0,67,25,100,49,73,36,33,6,0,1,6,53,3,100,11
eval_00088,writer_independent_evaluation,long_sweep,0.34724298,0.47000000,1.35351909,56,97,15,77,0,35,23,0,70,3,100,36,95,78,54,100
eval_00089,writer_independent_evaluation,long_sweep,0.36093431,0.47000000,1.30217601,100,83,25,100,16,67,58,28,12,0,0,33,65,65,89,91
eval_00090,writer_independent_evaluation,long_sweep,0.35451852,0.47000000,1.32574173,23,97,0,48,17,0,58,3,93,35,100,89,59,100,23,73
eval_00091,writer_independent_evaluation,long_sweep,0.34062404,0.47000000,1.37982042,95,76,34,80,0,97,57,100,98,80,100,53,83,25,59,0
eval_00092,writer_independent_evaluation,long_sweep,0.34006061,0.47000000,1.38210656,0,93,41,100,57,65,47,26,21,0,2,35,51,38,100,36
eval_00093,writer_independent_evaluation,compact_trace,0.54642688,0.32000000,0.58562273,17,81,59,100,76,75,53,48,100,44,89,13,40,0,0,20
eval_00094,writer_independent_evaluation,long_sweep,0.34376520,0.47000000,1.36721228,77,64,100,96,45,100,35,63,34,25,0,0,0,36,48,62
eval_00095,writer_independent_evaluation,compact_trace,0.50774129,0.32000000,0.63024223,9,88,22,100,26,65,16,31,0,5,33,1,66,0,100,3
eval_00096,writer_independent_evaluation,compact_trace,0.53487532,0.32000000,0.59827026,99,88,74,100,56,75,100,85,99,57,89,17,46,0,0,4
eval_00097,writer_independent_evaluation,long_sweep,0.34711089,0.47000000,1.35403413,26,94,0,61,6,16,47,0,91,17,100,60,71,95,27,100
eval_00098,writer_independent_evaluation,long_sweep,0.36726042,0.47000000,1.27974584,76,67,75,100,0,77,49,40,83,0,5,12,36,52,100,87
eval_00099,writer_independent_evaluation,compact_trace,0.48889745,0.32000000,0.65453400,34,100,14,83,2,66,0,48,23,34,65,30,91,17,100,0
eval_00100,writer_independent_evaluation,long_sweep,0.36358128,0.47000000,1.29269583,0,98,75,100,84,65,54,31,26,0,100,21,96,39,6,41
eval_00101,writer_independent_evaluation,long_sweep,0.34874830,0.47000000,1.34767681,100,100,55,82,23,54,0,23,33,0,87,15,66,44,11,40
eval_00102,writer_independent_evaluation,long_sweep,0.34884758,0.47000000,1.34729329,8,100,67,99,72,65,55,31,32,0,0,26,36,47,100,52
eval_00103,writer_independent_evaluation,long_sweep,0.34986005,0.47000000,1.34339433,49,100,7,83,0,54,100,60,72,82,51,86,59,36,68,0
eval_00104,writer_independent_evaluation,long_sweep,0.34313412,0.47000000,1.36972679,15,70,48,100,63,89,57,56,67,24,15,1,0,0,100,0
eval_00105,writer_independent_evaluation,compact_trace,0.54283307,0.32000000,0.58949982,0,95,39,100,67,73,53,30,40,0,21,40,53,45,100,40
eval_00106,writer_independent_evaluation,compact_trace,0.54625642,0.32000000,0.58580547,80,100,28,81,44,70,89,82,89,54,100,25,69,4,0,0
eval_00107,writer_independent_evaluation,compact_trace,0.53758899,0.32000000,0.59525028,62,81,100,100,84,91,40,76,67,64,83,26,46,0,0,9
eval_00108,writer_independent_evaluation,compact_trace,0.54311213,0.32000000,0.58919693,45,69,74,100,68,94,57,50,39,9,0,3,50,3,100,0
eval_00109,writer_independent_evaluation,long_sweep,0.35505518,0.47000000,1.32373790,0,89,61,100,100,85,47,65,44,47,98,29,71,4,6,0
eval_00110,writer_independent_evaluation,compact_trace,0.47803917,0.32000000,0.66940121,100,100,70,86,53,72,37,58,20,43,10,29,0,14,13,0
eval_00111,writer_independent_evaluation,compact_trace,0.47598666,0.32000000,0.67228775,100,100,82,91,64,75,50,59,27,43,14,27,0,11,0,0
eval_00112,writer_independent_evaluation,compact_trace,0.53220085,0.32000000,0.60127676,32,75,59,100,88,84,72,54,100,38,89,10,39,0,0,19
eval_00113,writer_independent_evaluation,compact_trace,0.53022972,0.32000000,0.60351201,0,98,39,100,71,80,72,39,69,0,48,29,60,50,100,55
eval_00114,writer_independent_evaluation,long_sweep,0.34264259,0.47000000,1.37169171,0,100,52,94,74,60,71,23,55,0,9,21,43,31,100,31
eval_00115,writer_independent_evaluation,long_sweep,0.34360474,0.47000000,1.36785073,8,96,55,100,62,67,42,30,25,0,0,36,41,49,100,50
eval_00116,writer_independent_evaluation,long_sweep,0.33926798,0.47000000,1.38533558,23,89,59,100,75,68,58,33,36,0,0,18,48,27,100,32
eval_00117,writer_independent_evaluation,long_sweep,0.36091558,0.47000000,1.30224358,42,98,22,72,75,51,62,0,0,6,23,57,43,100,100,99
eval_00118,writer_independent_evaluation,long_sweep,0.34204022,0.47000000,1.37410743,21,85,57,100,63,71,30,55,85,47,100,15,48,0,0,11
eval_00119,writer_independent_evaluation,long_sweep,0.35313502,0.47000000,1.33093570,100,91,49,100,28,66,55,30,26,0,0,30,50,61,95,90
eval_00120,writer_independent_evaluation,compact_trace,0.54113845,0.32000000,0.59134590,7,59,29,100,31,91,32,46,31,1,0,0,54,1,100,0
eval_00121,writer_independent_evaluation,compact_trace,0.54760793,0.32000000,0.58435969,100,65,92,100,39,93,9,62,0,27,31,0,60,26,19,28
eval_00122,writer_independent_evaluation,long_sweep,0.35095311,0.47000000,1.33921025,86,100,46,83,17,56,0,28,17,1,92,0,100,21,22,16
eval_00123,writer_independent_evaluation,compact_trace,0.53329521,0.32000000,0.60004289,100,100,58,96,20,95,0,62,28,58,66,45,55,11,17,0
eval_00124,writer_independent_evaluation,compact_trace,0.52391278,0.32000000,0.61078869,54,87,85,100,76,71,65,47,100,21,77,0,33,5,0,22
eval_00125,writer_independent_evaluation,compact_trace,0.54595080,0.32000000,0.58613340,52,100,12,74,0,41,12,9,66,0,100,27,98,60,79,93
eval_00126,writer_independent_evaluation,long_sweep,0.34781391,0.47000000,1.35129729,19,76,53,100,92,81,73,40,33,13,0,0,49,5,100,6
eval_00127,writer_independent_evaluation,long_sweep,0.35162559,0.47000000,1.33664902,14,93,0,54,52,31,24,0,2,29,4,78,44,96,100,100
eval_00128,writer_independent_evaluation,long_sweep,0.35533735,0.47000000,1.32268674,61,100,0,72,1,42,79,43,100,67,67,90,56,45,57,0
eval_00129,writer_independent_evaluation,long_sweep,0.34982297,0.47000000,1.34353669,10,98,0,54,7,11,51,0,90,30,100,72,66,100,18,88
eval_00130,writer_independent_evaluation,compact_trace,0.54183181,0.32000000,0.59058917,0,93,41,100,62,75,44,39,26,3,5,0,29,19,100,28
eval_00131,writer_independent_evaluation,long_sweep,0.34627120,0.47000000,1.35731760,97,100,45,84,0,62,2,46,48,41,100,45,58,23,21,0
eval_00132,writer_independent_evaluation,compact_trace,0.51145368,0.32000000,0.62566761,52,87,79,100,79,75,72,49,100,29,76,8,36,0,0,7
eval_00133,writer_independent_evaluation,long_sweep,0.36143617,0.47000000,1.30036793,100,96,2,100,0,65,61,32,37,0,19,32,68,68,64,96
eval_00134,writer_independent_evaluation,long_sweep,0.33859026,0.47000000,1.38810845,18,73,62,100,53,85,53,53,52,20,0,0,8,6,100,6
eval_00135,writer_independent_evaluation,compact_trace,0.53119244,0.32000000,0.60241821,29,100,4,77,0,54,64,53,100,69,71,47,46,24,32,0
eval_00136,writer_independent_evaluation,compact_trace,0.51232763,0.32000000,0.62460031,0,84,3,73,30,98,100,100,90,79,73,48,61,16,59,0
eval_00137,writer_independent_evaluation,compact_trace,0.52216479,0.32000000,0.61283335,45,100,12,79,0,52,62,40,100,56,88,55,78,27,68,0
eval_00138,writer_independent_evaluation,long_sweep,0.34912178,0.47000000,1.34623510,14,72,5,25,39,0,81,20,100,63,75,100,30,98,0,65
eval_00139,writer_independent_evaluation,long_sweep,0.36425367,0.47000000,1.29030958,28,96,98,97,87,95,13,100,34,64,100,45,63,0,0,18
eval_00140,writer_independent_evaluation,compact_trace,0.50014356,0.32000000,0.63981630,0,83,28,96,63,100,72,78,58,54,50,29,65,8,100,0
eval_00141,writer_independent_evaluation,long_sweep,0.33975525,0.47000000,1.38334876,24,96,0,61,7,16,43,0,82,11,100,48,78,86,39,100
eval_00142,writer_independent_evaluation,compact_trace,0.49271822,0.32000000,0.64945842,0,94,33,100,52,83,64,65,77,47,100,30,89,13,52,0
eval_00143,writer_independent_evaluation,long_sweep,0.34773380,0.47000000,1.35160861,39,60,64,100,96,84,69,41,25,12,0,15,50,0,100,4
eval_00144,writer_independent_evaluation,long_sweep,0.34778230,0.47000000,1.35142013,98,89,53,100,12,72,0,27,37,0,86,21,100,63,92,90
eval_00145,writer_independent_evaluation,long_sweep,0.36655518,0.47000000,1.28220804,83,95,6,100,20,65,100,38,83,0,0,12,12,55,36,95
eval_00146,writer_independent_evaluation,compact_trace,0.53390160,0.32000000,0.59936138,3,74,33,100,52,71,33,34,3,2,0,4,51,0,100,1
eval_00147,writer_independent_evaluation,compact_trace,0.49844309,0.32000000,0.64199907,0,79,27,93,60,100,77,80,72,54,64,28,66,4,100,0
eval_00148,writer_independent_evaluation,compact_trace,0.52409809,0.32000000,0.61057272,9,49,42,63,82,85,100,100,76,74,51,48,29,22,0,0
eval_00149,writer_independent_evaluation,compact_trace,0.51333525,0.32000000,0.62337430,12,100,10,90,0,56,58,43,100,65,97,70,91,35,90,0
eval_00150,writer_independent_evaluation,compact_trace,0.53175149,0.32000000,0.60178486,36,100,3,88,0,64,54,55,100,67,73,45,46,23,29,0
eval_00151,writer_independent_evaluation,long_sweep,0.34709356,0.47000000,1.35410175,20,57,0,20,40,0,83,23,100,62,87,100,40,88,11,53
eval_00152,writer_independent_evaluation,long_sweep,0.34497553,0.47000000,1.36241548,0,87,18,95,89,100,100,79,64,41,38,0,1,10,52,24
eval_00153,writer_independent_evaluation,compact_trace,0.53885138,0.32000000,0.59385577,0,61,29,88,51,100,43,66,43,32,23,0,11,2,100,3
eval_00154,writer_independent_evaluation,long_sweep,0.36058203,0.47000000,1.30344821,37,67,84,100,51,80,24,41,32,0,100,4,69,28,0,13
eval_00155,writer_independent_evaluation,compact_trace,0.53399478,0.32000000,0.59925679,24,72,50,100,61,64,33,33,0,12,29,19,64,0,100,10
eval_00156,writer_independent_evaluation,long_sweep,0.34351901,0.47000000,1.36819210,83,74,74,100,42,73,51,36,46,0,0,12,35,41,100,54
eval_00157,writer_independent_evaluation,compact_trace,0.53473477,0.32000000,0.59842751,18,74,49,100,53,67,31,31,0,0,13,11,59,2,100,8
eval_00158,writer_independent_evaluation,compact_trace,0.54157302,0.32000000,0.59087138,24,100,24,76,0,45,100,48,100,57,61,65,61,31,67,0
eval_00159,writer_independent_evaluation,long_sweep,0.35285735,0.47000000,1.33198304,24,96,34,62,72,36,37,0,15,40,0,89,50,99,100,100
eval_00160,writer_independent_evaluation,compact_trace,0.50855125,0.32000000,0.62923845,0,66,39,83,100,100,100,82,84,62,68,41,58,20,50,0
eval_00161,writer_independent_evaluation,long_sweep,0.36269583,0.47000000,1.29585168,31,97,100,100,25,94,12,62,48,62,94,33,60,0,0,5
eval_00162,writer_independent_evaluation,long_sweep,0.35095922,0.47000000,1.33918691,57,94,100,100,48,82,24,48,71,64,85,31,54,0,0,1
eval_00163,writer_independent_evaluation,compact_trace,0.53847596,0.32000000,0.59426980,87,74,63,100,46,71,87,82,100,54,88,17,40,1,0,0
eval_00164,writer_independent_evaluation,long_sweep,0.35020980,0.47000000,1.34205269,79,98,30,90,2,53,0,10,46,0,88,27,100,70,73,100
eval_00165,writer_independent_evaluation,long_sweep,0.34526555,0.47000000,1.36127107,0,77,34,100,82,97,72,64,39,36,4,10,48,1,100,0
eval_00166,writer_independent_evaluation,compact_trace,0.52274076,0.32000000,0.61215811,14,100,14,92,0,65,55,55,100,72,72,53,49,27,29,0
eval_00167,writer_independent_evaluation,compact_trace,0.50050221,0.32000000,0.63935781,0,73,27,86,73,100,100,98,89,72,83,46,82,20,85,0
eval_00168,writer_independent_evaluation,compact_trace,0.48824299,0.32000000,0.65541135,0,87,27,100,55,87,68,68,82,50,100,32,100,13,73,0
eval_00169,writer_independent_evaluation,long_sweep,0.34719945,0.47000000,1.35368879,79,100,27,86,0,53,9,15,53,0,95,25,100,63,76,99
eval_00170,writer_independent_evaluation,compact_trace,0.51468336,0.32000000,0.62174149,87,100,56,95,71,86,87,81,94,50,100,19,53,6,0,0
eval_00171,writer_independent_evaluation,compact_trace,0.51387148,0.32000000,0.62272379,62,83,62,75,81,100,74,86,100,53,90,18,37,0,0,16
eval_00172,writer_independent_evaluation,long_sweep,0.34516006,0.47000000,1.36168708,10,61,35,100,69,88,41,46,0,13,10,28,53,0,100,23
eval_00173,writer_independent_evaluation,long_sweep,0.34295896,0.47000000,1.37042638,70,100,72,97,45,57,39,13,91,0,100,39,41,44,0,11
eval_00174,writer_independent_evaluation,long_sweep,0.33834222,0.47000000,1.38912609,70,100,54,86,29,53,23,16,69,0,100,23,50,36,0,21
eval_00175,writer_independent_evaluation,long_sweep,0.35609772,0.47000000,1.31986242,57,87,41,78,74,38,84,0,0,7,37,48,100,81,90,100
eval_00176,writer_independent_evaluation,long_sweep,0.35055993,0.47000000,1.34071226,11,98,0,55,52,36,45,0,17,22,11,72,42,100,100,99
eval_00177,writer_independent_evaluation,compact_trace,0.53792830,0.32000000,0.59487482,37,80,53,100,88,83,59,60,100,44,92,15,49,0,0,8
eval_00178,writer_independent_evaluation,compact_trace,0.50067030,0.32000000,0.63914317,0,69,47,81,88,100,100,91,91,68,76,45,71,22,68,0
eval_00179,writer_independent_evaluation,long_sweep,0.34590962,0.47000000,1.35873642,24,100,17,56,58,34,37,0,0,23,12,59,51,85,100,93
eval_00180,writer_independent_evaluation,long_sweep,0.35981116,0.47000000,1.30624076,54,98,17,64,0,18,50,0,93,36,100,84,54,100,19,60
eval_00181,writer_independent_evaluation,long_sweep,0.34050191,0.47000000,1.38031532,64,100,10,99,0,71,56,77,72,71,100,37,75,8,19,0
eval_00182,writer_independent_evaluation,compact_trace,0.47513122,0.32000000,0.67349815,100,100,93,86,73,72,57,57,40,44,23,29,10,15,0,0
eval_00183,writer_independent_evaluation,long_sweep,0.34372448,0.47000000,1.36737424,100,99,52,100,17,70,0,32,24,0,68,16,40,45,3,28
eval_00184,writer_independent_evaluation,long_sweep,0.34995532,0.47000000,1.34302859,44,100,20,63,22,22,63,0,100,29,95,69,47,89,0,74
eval_00185,writer_independent_evaluation,compact_trace,0.50369049,0.32000000,0.63531079,0,83,20,100,67,96,73,74,64,51,51,30,56,9,100,0
eval_00186,writer_independent_evaluation,long_sweep,0.35867471,0.47000000,1.31037955,54,73,37,100,0,71,49,36,76,0,19,19,53,56,100,91
eval_00187,writer_independent_evaluation,compact_trace,0.52278588,0.32000000,0.61210528,100,100,63,100,32,78,8,53,0,23,23,0,63,8,44,32
eval_00188,writer_independent_evaluation,long_sweep,0.34972695,0.47000000,1.34390560,75,100,31,92,1,55,0,10,46,0,84,31,100,73,68,99
eval_00189,writer_independent_evaluation,long_sweep,0.33954497,0.47000000,1.38420546,87,100,49,77,19,52,0,24,25,0,83,2,100,25,45,31
