record_id,source_split,capture_action,behavior_propensity,target_probability,policy_weight,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,digit_label
train_00028,training_writers,compact_trace,0.54057500,0.32000000,0.59196226,46,100,10,83,34,64,100,77,71,82,49,54,22,27,0,0,4
train_00029,training_writers,long_sweep,0.36595509,0.47000000,1.28431059,61,59,58,100,0,84,44,42,80,0,8,5,33,44,100,70,8
train_00030,training_writers,compact_trace,0.49750435,0.32000000,0.64321046,100,84,31,100,0,88,8,70,15,53,15,35,0,17,0,0,1
train_00031,training_writers,long_sweep,0.35996734,0.47000000,1.30567400,32,59,53,100,100,95,79,46,48,0,93,19,58,55,0,63,8
train_00032,training_writers,long_sweep,0.35242708,0.47000000,1.33360920,40,99,51,66,79,26,39,0,0,27,8,77,46,100,100,94,5
train_00033,training_writers,compact_trace,0.54695152,0.32000000,0.58506100,0,98,36,100,80,85,68,42,56,0,25,23,50,37,100,32,7
train_00034,training_writers,long_sweep,0.35467234,0.47000000,1.32516676,27,76,1,42,16,0,70,3,100,40,92,84,44,100,0,73,0
train_00035,training_writers,rising_tail,0.22880201,0.43000000,1.87935413,0,0,31,15,63,30,88,52,100,79,82,100,56,82,79,64,9
train_00036,training_writers,compact_trace,0.53351096,0.32000000,0.59980023,30,86,67,100,77,77,53,50,78,40,100,17,56,0,0,5,3
train_00037,training_writers,long_sweep,0.35538095,0.47000000,1.32252445,29,91,14,57,66,39,30,0,0,19,3,72,39,97,100,100,5
train_00038,training_writers,long_sweep,0.34946754,0.47000000,1.34490315,77,97,40,100,0,59,9,29,84,33,100,64,77,44,48,0,4
train_00039,training_writers,long_sweep,0.36894020,0.47000000,1.27391920,64,93,0,67,97,67,89,100,14,70,100,68,96,36,28,0,9
train_00040,training_writers,long_sweep,0.34400396,0.47000000,1.36626335,9,93,53,100,89,80,57,52,17,30,0,5,50,2,100,0,2
train_00041,training_writers,long_sweep,0.35072968,0.47000000,1.34006338,0,93,62,100,100,78,69,43,50,5,35,0,15,35,86,37,7
train_00042,training_writers,long_sweep,0.35589316,0.47000000,1.32062106,30,87,16,55,68,41,52,0,0,16,15,63,41,100,100,98,5
train_00043,training_writers,long_sweep,0.35227762,0.47000000,1.33417500,60,100,20,76,0,39,10,1,69,0,100,33,56,40,15,10,6
train_00044,training_writers,compact_trace,0.54654223,0.32000000,0.58549913,0,83,29,100,88,95,64,69,73,43,100,13,50,1,10,0,3
train_00045,training_writers,compact_trace,0.51959939,0.32000000,0.61585908,5,90,46,98,89,100,100,81,77,59,62,34,37,14,0,0,3
train_00046,training_writers,long_sweep,0.35859152,0.47000000,1.31068355,100,99,67,100,24,68,0,32,27,0,99,8,77,40,9,55,6
train_00047,training_writers,compact_trace,0.52314817,0.32000000,0.61168139,47,86,73,100,89,75,68,49,100,28,82,4,38,0,0,13,3
train_00048,training_writers,compact_trace,0.54539130,0.32000000,0.58673470,29,72,45,100,78,78,60,41,25,12,0,4,50,6,100,0,2
train_00049,training_writers,long_sweep,0.35108166,0.47000000,1.33871989,1,88,0,54,59,31,36,0,11,28,4,68,28,97,100,100,5
train_00050,training_writers,compact_trace,0.51394666,0.32000000,0.62263270,63,100,40,73,70,63,100,77,79,74,55,48,29,23,0,0,4
train_00051,training_writers,compact_trace,0.54647241,0.32000000,0.58557393,11,92,56,100,83,82,52,59,87,39,100,14,55,0,0,0,3
train_00052,training_writers,compact_trace,0.49670194,0.32000000,0.64424955,51,76,68,91,100,100,83,80,59,60,34,40,10,20,0,0,1
train_00053,training_writers,long_sweep,0.35637015,0.47000000,1.31885344,56,99,18,72,0,24,36,0,85,23,100,69,58,100,19,74,0
train_00054,training_writers,compact_trace,0.51562938,0.32000000,0.62060079,0,75,47,87,100,100,91,80,72,60,53,40,35,20,19,0,1
train_00055,training_writers,long_sweep,0.34713909,0.47000000,1.35392416,17,100,0,74,6,36,77,37,100,63,73,95,71,47,75,0,4
train_00056,training_writers,long_sweep,0.35065375,0.47000000,1.34035357,41,96,17,76,50,37,31,0,0,34,1,86,49,98,100,100,5
train_00057,training_writers,compact_trace,0.53805382,0.32000000,0.59473605,20,82,62,100,100,81,68,54,82,50,89,19,42,0,0,13,3
train_00058,training_writers,compact_trace,0.54334051,0.32000000,0.58894928,12,78,40,100,74,77,52,41,13,14,0,17,50,8,100,0,2
train_00059,training_writers,long_sweep,0.34980477,0.47000000,1.34360662,18,73,0,73,10,24,54,0,100,22,95,71,52,100,5,84,0
train_00060,training_writers,long_sweep,0.35861205,0.47000000,1.31060850,97,100,41,90,4,58,0,22,52,0,100,22,49,38,8,13,6
train_00061,training_writers,long_sweep,0.36935495,0.47000000,1.27248871,57,63,100,100,0,91,36,53,95,16,2,0,5,36,91,67,8
train_00062,training_writers,long_sweep,0.35492990,0.47000000,1.32420515,30,81,87,100,100,98,37,86,46,54,99,32,59,2,0,0,5
train_00063,training_writers,long_sweep,0.35332879,0.47000000,1.33020580,12,61,0,20,44,0,92,23,100,64,70,100,15,92,0,52,0
train_00064,training_writers,long_sweep,0.34218085,0.47000000,1.37354266,0,84,50,100,72,79,37,52,51,41,100,27,62,3,3,0,3
train_00065,training_writers,long_sweep,0.34135756,0.47000000,1.37685538,0,100,61,100,100,93,63,64,36,33,14,0,9,29,47,42,7
train_00066,training_writers,long_sweep,0.35095374,0.47000000,1.33920784,100,79,67,100,26,76,41,38,47,0,0,8,38,38,96,58,8
train_00067,training_writers,compact_trace,0.54576909,0.32000000,0.58632855,37,91,84,100,100,96,52,87,32,57,74,38,41,1,0,0,5
train_00068,training_writers,compact_trace,0.54470787,0.32000000,0.58747086,100,100,58,83,31,55,17,24,43,0,80,19,50,43,0,39,6
train_00069,training_writers,long_sweep,0.36315475,0.47000000,1.29421411,94,79,40,100,13,65,59,30,67,0,0,17,45,52,100,83,8
train_00070,training_writers,long_sweep,0.36781755,0.47000000,1.27780744,0,82,75,56,100,12,22,0,22,41,92,73,84,100,2,80,8
train_00071,training_writers,compact_trace,0.53185022,0.32000000,0.60167315,80,100,36,100,58,80,65,82,82,47,100,14,53,0,0,7,9
train_00072,training_writers,long_sweep,0.35610629,0.47000000,1.31983065,35,76,0,42,11,0,65,5,100,41,97,85,49,100,9,69,0
train_00073,training_writers,compact_trace,0.52755920,0.32000000,0.60656700,34,100,21,76,0,35,43,30,91,29,100,41,74,46,67,0,4
train_00074,training_writers,compact_trace,0.50538283,0.32000000,0.63318336,0,75,31,72,67,84,100,100,94,82,80,54,68,27,56,0,1
train_00075,training_writers,long_sweep,0.35880687,0.47000000,1.30989690,90,71,100,100,25,85,10,50,80,62,99,53,64,17,0,0,9
train_00076,training_writers,compact_trace,0.54210710,0.32000000,0.59028926,0,97,42,100,67,71,53,35,34,0,16,23,40,42,100,42,7
train_00077,training_writers,long_sweep,0.34821590,0.47000000,1.34973735,38,94,4,63,0,20,41,0,84,19,100,60,77,98,32,100,0
train_00078,training_writers,long_sweep,0.35204163,0.47000000,1.33506937,72,100,38,88,2,57,0,19,51,0,100,20,55,34,12,7,6
train_00079,training_writers,compact_trace,0.54743664,0.32000000,0.58454254,26,79,69,100,92,85,56,56,90,42,100,15,51,0,0,2,3
train_00080,training_writers,long_sweep,0.34655344,0.47000000,1.35621217,8,77,47,100,100,96,71,66,100,46,99,13,46,0,0,13,3
train_00081,training_writers,compact_trace,0.53587473,0.32000000,0.59715449,31,73,55,100,55,53,33,14,0,0,30,11,65,1,100,1,2
train_00082,training_writers,compact_trace,0.51579794,0.32000000,0.62039798,46,100,21,85,0,60,24,42,68,44,100,49,76,25,58,0,4
train_00083,training_writers,long_sweep,0.34159929,0.47000000,1.37588106,41,69,76,100,73,81,57,39,46,0,0,10,50,9,100,10,1
train_00084,training_writers,compact_trace,0.54338129,0.32000000,0.58890507,32,100,12,76,0,48,1,21,39,0,100,9,64,21,18,3,6
train_00085,training_writers,long_sweep,0.34660186,0.47000000,1.35602273,16,90,9,61,50,35,23,0,5,35,0,81,48,97,100,100,5
train_00086,training_writers,long_sweep,0.36641613,0.47000000,1.28269462,21,88,0,57,88,58,88,18,15,0,8,42,12,83,100,100,5
train_00087,training_writers,compact_trace,0.54688760,0.32000000,0.58512937,0,100,54,98,91,85,71,52,62,17,74,0,100,32,42,37,7
train_00088,training_writers,long_sweep,0.36219748,0.47000000,1.29763466,47,93,1,67,0,16,53,0,100,32,95,81,42,100,7,62,0
train_00089,training_writers,long_sweep,0.35066247,0.50000000,1.42587258,38,51,8,66,0,19,42,0,87,26,100,71,61,100,16,84,0
train_00090,training_writers,long_sweep,0.33998526,0.47000000,1.38241286,95,92,50,100,21,77,74,87,100,86,69,56,37,26,0,0,9
train_00091,training_writers,long_sweep,0.34228585,0.47000000,1.37312132,18,88,2,54,40,25,2,0,0,30,20,70,45,100,100,93,5
train_00092,training_writers,long_sweep,0.34380861,0.47000000,1.36703964,39,100,23,82,0,52,1,21,48,0,100,16,70,42,6,55,6
train_00093,training_writers,compact_trace,0.53724131,0.32000000,0.59563551,22,100,1,66,0,33,50,32,100,36,82,63,77,30,71,0,4
train_00094,training_writers,long_sweep,0.34525458,0.47000000,1.36131433,3,96,53,100,81,68,83,28,72,0,100,34,51,41,0,43,7
train_00095,training_writers,compact_trace,0.48892403,0.32000000,0.65449840,0,65,38,79,62,100,72,86,77,65,79,43,83,21,100,0,1
train_00096,training_writers,long_sweep,0.34180610,0.47000000,1.37504859,19,81,0,41,12,0,54,1,88,29,100,71,72,100,31,91,0
train_00097,training_writers,compact_trace,0.50644953,0.32000000,0.63184973,0,60,38,80,80,100,100,92,80,69,65,46,55,23,55,0,1
train_00098,training_writers,long_sweep,0.36324859,0.47000000,1.29387976,40,72,16,50,96,69,70,100,0,73,65,57,100,47,94,0,9
train_00099,training_writers,compact_trace,0.54736695,0.32000000,0.58461696,100,100,63,78,28,53,0,27,4,0,60,1,78,22,24,21,6
train_00100,training_writers,long_sweep,0.35683737,0.47000000,1.31712664,33,58,19,90,78,100,91,62,51,28,0,2,37,1,100,0,2
train_00101,training_writers,long_sweep,0.34922801,0.47000000,1.34582563,14,91,9,52,28,10,74,0,100,38,86,81,43,100,0,80,0
train_00102,training_writers,long_sweep,0.33916570,0.47000000,1.38575332,20,85,62,100,71,72,45,52,98,47,100,17,53,0,0,0,3
train_00103,training_writers,long_sweep,0.34684261,0.47000000,1.35508148,9,100,0,66,20,25,61,0,100,21,93,64,54,91,9,76,0
train_00104,training_writers,long_sweep,0.36558150,0.47000000,1.28562303,42,83,60,53,89,11,13,0,0,33,77,57,100,92,18,100,8
train_00105,training_writers,long_sweep,0.34919293,0.47000000,1.34596082,4,63,12,15,52,0,92,15,100,63,72,100,28,97,0,62,0
train_00106,training_writers,compact_trace,0.54306269,0.32000000,0.58925057,38,94,90,100,94,79,59,57,68,33,100,12,54,0,0,1,3
train_00107,training_writers,long_sweep,0.33957150,0.47000000,1.38409731,22,55,10,60,0,18,46,0,89,28,100,70,68,100,29,69,0
train_00108,training_writers,long_sweep,0.36067229,0.47000000,1.30312200,27,100,0,58,12,5,62,0,100,39,97,91,48,97,18,53,0
train_00109,training_writers,long_sweep,0.35157688,0.47000000,1.33683421,43,94,15,66,52,38,20,0,5,35,0,83,42,100,100,98,5
train_00110,training_writers,compact_trace,0.53530651,0.32000000,0.59778836,0,87,37,100,19,70,5,42,88,49,100,58,84,28,88,0,4
train_00111,training_writers,long_sweep,0.36213690,0.47000000,1.29785173,73,98,35,100,0,59,0,13,71,8,100,45,29,41,9,0,6
train_00112,training_writers,long_sweep,0.34724136,0.47000000,1.35352538,15,73,0,34,30,0,81,1,100,38,87,78,44,100,16,68,0
train_00113,training_writers,long_sweep,0.35740300,0.47000000,1.31504211,85,100,30,84,5,54,0,22,48,0,100,21,66,47,0,37,6
train_00114,training_writers,long_sweep,0.36176692,0.47000000,1.29917903,0,88,24,68,76,33,43,0,29,32,84,66,100,100,8,89,8
train_00115,training_writers,long_sweep,0.35336624,0.47000000,1.33006480,50,97,72,68,100,100,42,86,93,72,89,48,70,7,0,0,9
train_00116,training_writers,compact_trace,0.54224118,0.32000000,0.59014330,42,100,9,79,0,46,48,31,100,46,89,52,46,30,19,0,4
train_00117,training_writers,long_sweep,0.35126191,0.47000000,1.33803291,7,100,0,56,51,37,39,0,9,15,5,62,42,92,100,96,5
train_00118,training_writers,compact_trace,0.54459544,0.32000000,0.58759214,100,77,92,100,49,76,18,48,0,15,38,0,75,23,29,27,6
train_00119,training_writers,compact_trace,0.54560784,0.32000000,0.58650184,44,66,67,100,80,62,47,25,5,0,0,3,50,4,100,7,2
train_00120,training_writers,long_sweep,0.35945315,0.47000000,1.30754176,37,100,48,57,74,97,27,97,80,68,100,26,49,0,0,22,9
train_00121,training_writers,long_sweep,0.36796503,0.47000000,1.27729528,100,89,40,83,63,40,84,0,0,7,53,53,80,100,3,78,8
train_00122,training_writers,long_sweep,0.36669469,0.47000000,1.28172021,45,93,0,60,75,69,89,29,19,0,15,43,26,93,100,100,5
train_00123,training_writers,long_sweep,0.35997365,0.47000000,1.30565113,45,100,10,67,7,16,56,0,100,31,91,79,38,95,0,61,0
train_00124,training_writers,long_sweep,0.34139755,0.47000000,1.37669411,13,68,15,30,42,0,86,19,100,56,84,90,33,100,0,73,0
train_00125,training_writers,long_sweep,0.35574055,0.47000000,1.32118760,49,83,8,57,0,17,51,0,93,28,100,70,61,100,8,86,0
train_00126,training_writers,compact_trace,0.50115565,0.32000000,0.63852418,16,100,0,78,5,54,41,32,93,39,100,48,91,24,89,0,4
train_00127,training_writers,compact_trace,0.52881046,0.32000000,0.60513175,22,93,0,95,50,97,100,100,67,81,43,56,28,28,30,0,7
train_00128,training_writers,compact_trace,0.53440230,0.32000000,0.59879982,52,91,72,100,87,70,57,43,100,45,90,15,43,0,0,12,3
train_00129,training_writers,compact_trace,0.53302723,0.32000000,0.60034457,96,100,52,95,48,76,96,98,100,85,71,54,39,25,0,0,9
train_00130,training_writers,compact_trace,0.53452473,0.32000000,0.59866267,29,73,56,100,68,71,45,38,11,12,0,8,50,6,100,0,2
train_00131,training_writers,long_sweep,0.34427644,0.47000000,1.36518201,14,94,4,63,43,36,36,0,10,27,0,72,47,92,100,100,5
train_00132,training_writers,long_sweep,0.36187436,0.47000000,1.29879333,53,87,32,47,98,64,69,100,58,69,100,61,71,3,0,0,9
train_00133,training_writers,long_sweep,0.35068754,0.47000000,1.34022442,68,100,24,83,0,41,13,0,60,3,99,30,100,71,55,89,0
train_00134,training_writers,compact_trace,0.53590021,0.32000000,0.59712610,100,98,60,100,29,73,10,41,6,6,46,0,46,27,0,30,6
train_00135,training_writers,long_sweep,0.36161422,0.47000000,1.29972766,100,70,58,100,10,75,0,24,48,0,100,19,97,68,45,81,0
train_00136,training_writers,long_sweep,0.35561654,0.47000000,1.32164832,84,100,59,99,16,72,0,42,20,12,100,0,94,22,4,27,6
train_00137,training_writers,long_sweep,0.35152661,0.47000000,1.33702537,100,100,53,81,25,54,11,25,38,0,99,8,65,29,0,25,6
train_00138,training_writers,compact_trace,0.51268715,0.32000000,0.62416232,0,42,30,56,59,72,86,94,100,100,80,68,62,35,53,0,1
train_00139,training_writers,long_sweep,0.33802674,0.47000000,1.39042254,67,100,30,90,0,57,41,40,100,53,98,67,66,34,40,0,4
train_00140,training_writers,long_sweep,0.36259412,0.47000000,1.29621517,73,85,31,65,0,0,52,9,100,57,82,100,81,78,38,25,0
train_00141,training_writers,long_sweep,0.35964435,0.47000000,1.30684660,28,82,0,39,30,0,80,5,100,54,70,99,22,100,7,50,0
train_00142,training_writers,long_sweep,0.35349860,0.47000000,1.32956681,86,100,48,79,13,52,0,22,45,0,100,16,76,40,6,35,6
train_00143,training_writers,compact_trace,0.53723378,0.32000000,0.59564385,40,79,61,100,78,72,46,41,0,16,1,5,61,1,100,0,2
train_00144,training_writers,compact_trace,0.54323095,0.32000000,0.58906805,100,88,69,100,20,84,70,86,93,71,70,44,38,19,0,0,9
train_00145,training_writers,long_sweep,0.34799169,0.47000000,1.35060697,30,98,16,60,53,28,46,0,13,29,0,68,27,95,100,100,5
train_00146,training_writers,long_sweep,0.34872500,0.47000000,1.34776688,2,78,46,99,100,100,77,76,94,38,94,0,41,3,0,28,3
train_00147,training_writers,compact_trace,0.51335716,0.32000000,0.62334768,0,42,34,57,64,79,95,100,100,85,81,57,62,28,45,0,1
train_00148,training_writers,compact_trace,0.50492394,0.32000000,0.63375882,19,100,4,77,0,51,46,36,100,47,96,49,87,23,77,0,4
train_00149,training_writers,compact_trace,0.52251710,0.32000000,0.61242015,3,66,16,100,27,69,14,32,0,0,33,5,67,10,100,11,2
train_00150,training_writers,compact_trace,0.51174435,0.32000000,0.62531223,47,100,40,82,18,49,0,19,53,20,92,34,94,35,100,0,4
train_00151,training_writers,compact_trace,0.51864481,0.32000000,0.61699258,29,38,61,60,92,83,100,100,73,76,49,50,25,25,0,0,1
train_00152,training_writers,compact_trace,0.50562686,0.32000000,0.63287777,0,63,41,77,79,94,100,100,85,74,75,48,71,22,82,0,1
train_00153,training_writers,long_sweep,0.35789379,0.47000000,1.31323877,0,52,52,83,97,100,91,55,84,10,21,0,21,7,100,7,1
train_00154,training_writers,long_sweep,0.35267451,0.47000000,1.33267357,65,100,24,84,0,48,9,10,61,0,100,24,58,47,2,46,6
train_00155,training_writers,long_sweep,0.34832700,0.47000000,1.34930681,88,80,12,80,100,100,100,91,65,68,29,46,6,23,0,0,1
train_00156,training_writers,long_sweep,0.36222753,0.47000000,1.29752701,13,80,53,71,100,100,23,99,0,71,81,74,74,40,47,0,9
train_00157,training_writers,long_sweep,0.35956894,0.47000000,1.30712068,0,79,51,59,100,29,51,0,22,26,51,60,73,94,9,100,8
train_00158,training_writers,compact_trace,0.51325094,0.32000000,0.62347670,72,100,38,84,13,63,0,40,40,28,88,31,100,22,84,0,4
train_00159,training_writers,long_sweep,0.35294958,0.47000000,1.33163496,0,100,67,100,86,72,56,37,34,0,6,33,32,45,100,46,7
train_00160,training_writers,compact_trace,0.54619958,0.32000000,0.58586644,37,84,69,100,96,87,55,61,88,38,100,9,51,0,0,3,3
train_00161,training_writers,compact_trace,0.51020785,0.32000000,0.62719537,0,100,73,97,95,80,100,64,95,48,82,31,64,15,23,0,1
train_00162,training_writers,long_sweep,0.36411848,0.47000000,1.29078864,0,59,77,74,100,100,17,93,7,71,82,68,45,35,20,0,9
train_00163,training_writers,long_sweep,0.35159641,0.47000000,1.33675995,2,85,31,100,76,74,62,37,47,0,100,8,68,30,0,41,7
train_00164,training_writers,compact_trace,0.51332963,0.32000000,0.62338112,13,100,0,76,28,53,94,56,100,76,93,66,94,33,91,0,4
train_00165,training_writers,compact_trace,0.54362885,0.32000000,0.58863690,21,75,40,100,85,94,67,63,100,43,95,11,47,0,0,13,3
train_00166,training_writers,long_sweep,0.34734858,0.47000000,1.35310761,48,100,15,83,0,39,23,1,71,0,100,34,86,77,44,98,0
train_00167,training_writers,long_sweep,0.34797979,0.47000000,1.35065314,24,100,100,99,93,78,64,48,39,17,19,0,0,31,72,38,7
train_00168,training_writers,compact_trace,0.54464904,0.32000000,0.58753432,45,85,93,100,100,98,48,88,7,62,48,48,48,18,0,0,5
train_00169,training_writers,long_sweep,0.36851256,0.47000000,1.27539750,54,93,0,88,54,46,70,0,5,9,54,52,100,96,7,100,8
train_00170,training_writers,compact_trace,0.52953505,0.32000000,0.60430371,46,83,87,100,100,79,75,54,90,36,100,13,49,0,0,12,3
train_00171,training_writers,long_sweep,0.35826129,0.47000000,1.31189166,84,100,46,98,13,60,0,19,53,0,100,32,33,36,10,4,6
train_00172,training_writers,long_sweep,0.34437366,0.50000000,1.45191130,26,74,19,49,64,21,20,0,1,25,0,64,45,87,100,100,5
train_00173,training_writers,compact_trace,0.54716861,0.32000000,0.58482887,39,62,78,88,79,100,57,64,38,30,0,0,34,4,100,0,1
train_00174,training_writers,long_sweep,0.35664816,0.47000000,1.31782541,14,100,1,54,51,47,36,0,0,14,6,71,42,93,100,97,5
train_00175,training_writers,compact_trace,0.52270348,0.32000000,0.61220178,0,65,43,76,93,96,100,100,71,75,48,50,26,25,5,0,1
train_00176,training_writers,compact_trace,0.48928080,0.32000000,0.65402117,0,70,53,88,64,100,62,78,70,57,83,36,100,14,98,0,1
train_00177,training_writers,compact_trace,0.49428427,0.32000000,0.64740073,0,67,16,80,64,100,85,99,85,74,89,49,95,24,100,0,1
train_00178,training_writers,compact_trace,0.54128435,0.32000000,0.59118650,88,99,45,82,78,75,90,100,100,68,93,36,59,9,0,0,9
train_00179,training_writers,compact_trace,0.53118057,0.32000000,0.60243168,30,100,16,84,0,51,28,26,80,33,100,65,79,34,68,0,4
train_00180,training_writers,long_sweep,0.36283943,0.47000000,1.29533882,24,100,14,55,72,52,54,0,8,2,0,58,35,95,100,99,5
train_00181,training_writers,compact_trace,0.51002511,0.32000000,0.62742009,0,78,18,96,59,95,100,100,86,82,66,56,52,29,47,0,7
train_00182,training_writers,compact_trace,0.54069410,0.32000000,0.59183187,0,91,46,100,85,80,91,40,88,0,99,22,100,52,50,49,7
train_00183,training_writers,long_sweep,0.35491000,0.47000000,1.32427941,21,92,85,100,90,67,67,34,49,0,0,26,27,43,100,42,7
train_00184,training_writers,long_sweep,0.34009112,0.47000000,1.38198256,31,95,5,61,0,23,32,0,77,18,100,51,82,85,37,100,0
train_00185,training_writers,compact_trace,0.52456272,0.32000000,0.61003192,19,73,54,91,100,100,99,78,86,52,78,26,43,8,0,0,3
train_00186,training_writers,long_sweep,0.35441965,0.47000000,1.32611158,98,100,52,77,18,52,0,25,25,0,100,5,97,29,23,22,6
train_00187,training_writers,long_sweep,0.34446210,0.47000000,1.36444619,79,74,21,67,15,92,71,100,100,75,73,45,36,18,0,0,9
train_00188,training_writers,compact_trace,0.54624423,0.32000000,0.58581854,100,100,59,79,26,54,2,28,1,0,58,0,58,21,0,19,6
train_00189,training_writers,long_sweep,0.36344199,0.47000000,1.29319124,19,86,35,72,95,94,0,100,60,78,100,52,67,26,26,0,9
train_00190,training_writers,long_sweep,0.34642245,0.47000000,1.35672500,16,59,0,31,31,0,78,15,100,55,87,98,40,100,6,67,0
train_00191,training_writers,long_sweep,0.34180646,0.47000000,1.37504714,83,86,44,100,0,74,58,67,100,94,89,63,77,31,75,0,9
train_00192,training_writers,compact_trace,0.54630994,0.32000000,0.58574809,0,97,43,100,58,62,41,17,26,0,8,36,54,34,100,33,7
train_00193,training_writers,compact_trace,0.50119674,0.32000000,0.63847183,0,70,63,80,90,100,100,89,100,67,92,44,84,22,71,0,1
train_00194,training_writers,compact_trace,0.54378117,0.32000000,0.58847201,30,100,4,67,0,24,30,0,66,11,95,41,100,82,64,93,0
train_00195,training_writers,compact_trace,0.52754956,0.32000000,0.60657809,100,96,71,100,42,79,49,56,91,51,82,16,42,0,0,1,5
train_00196,training_writers,long_sweep,0.34036436,0.47000000,1.38087315,47,100,19,67,0,30,20,0,68,5,100,33,91,72,50,88,0
train_00197,training_writers,compact_trace,0.53007140,0.32000000,0.60369225,100,100,64,98,26,85,36,63,76,58,75,24,42,1,0,0,5
train_00198,training_writers,long_sweep,0.35705629,0.47000000,1.31631906,29,47,59,71,100,100,90,81,74,50,66,18,0,0,99,7,1
train_00199,training_writers,long_sweep,0.34845561,0.47000000,1.34880882,89,87,38,100,17,78,80,77,100,76,92,34,61,0,0,4,9
train_00200,training_writers,compact_trace,0.53507071,0.32000000,0.59805180,67,100,36,82,0,60,5,37,66,38,100,50,73,25,56,0,4
train_00201,training_writers,long_sweep,0.34357268,0.47000000,1.36797839,53,100,23,77,0,57,74,66,100,79,70,85,44,42,16,0,4
train_00202,training_writers,compact_trace,0.54522911,0.32000000,0.58690924,27,100,0,74,40,54,100,59,84,91,57,64,43,32,33,0,4
train_00203,training_writers,long_sweep,0.34689919,0.47000000,1.35486049,2,80,36,50,54,12,9,0,0,41,5,78,49,95,100,100,5
