panel_id,split_role,bath_run,film_microns,bath_solids,bath_temp_c,coat_voltage,dip_seconds,rinse_pressure,substrate_grade,line_side,pretreat_type,cratered
27,fit,early_run,954.421472,715.814414,1412.233558,,11263.207535,194.590766,substrate_grade_2,line_side_1,pretreat_type_1,clean
28,validation,middle_run,743.070123,671.680318,2133.159226,18774.807612,10461.844186,206.601634,substrate_grade_4,line_side_3,pretreat_type_2,cratered
29,fit,salvage_run,1175.942555,762.423701,1807.421774,17871.360549,11163.958446,209.393006,substrate_grade_3,line_side_2,pretreat_type_2,clean
30,fit,south_bay,1016.416636,,1590.164788,17645.568324,10309.458714,198.785427,substrate_grade_3,line_side_2,,clean
31,fit,north_bay,940.194593,698.755378,1992.030968,18872.415599,11283.984748,200.767286,substrate_grade_3,line_side_3,,clean
32,fit,north_bay,896.940967,705.355613,1842.405055,18306.988583,11358.928928,181.608968,substrate_grade_3,line_side_2,pretreat_type_2,cratered
33,test,north_bay,854.789450,730.820510,1709.102699,18047.845857,10604.532589,195.585003,substrate_grade_2,line_side_2,pretreat_type_3,
34,fit,early_run,1039.504378,727.316425,1728.164886,,11858.256147,214.767834,substrate_grade_4,line_side_1,pretreat_type_1,clean
35,fit,salvage_run,1138.561820,748.719083,1872.088171,18444.316695,10461.430086,203.539744,substrate_grade_3,line_side_1,pretreat_type_3,clean
36,validation,middle_run,976.141742,743.734926,1642.222132,,11278.969345,198.831978,substrate_grade_2,line_side_2,pretreat_type_3,cratered
37,fit,middle_run,850.609267,735.496197,1880.752486,18071.610169,11558.256186,200.334126,substrate_grade_4,line_side_3,pretreat_type_3,clean
38,test,middle_run,933.302772,787.546722,1940.437156,17451.348800,11171.412595,222.682155,substrate_grade_3,line_side_1,pretreat_type_1,
39,test,late_run,855.791400,,1550.158705,18761.107048,11075.956811,215.236865,substrate_grade_3,line_side_2,pretreat_type_3,
40,test,salvage_run,767.632212,734.067657,1756.402580,18208.376536,10733.143093,199.939021,substrate_grade_1,line_side_2,pretreat_type_3,
41,validation,late_run,1006.018766,840.289504,1664.298001,18206.477629,12416.740923,213.847514,substrate_grade_3,line_side_1,pretreat_type_1,clean
42,validation,south_bay,968.699763,737.558198,1583.491884,17597.490173,11112.103973,179.524277,substrate_grade_2,line_side_1,,clean
43,fit,early_run,1066.177732,780.709461,1574.396867,17414.732828,10329.070096,190.159801,substrate_grade_3,line_side_1,pretreat_type_1,clean
44,fit,early_run,1000.189617,682.455373,1995.406434,,11139.273816,212.509490,substrate_grade_3,line_side_2,pretreat_type_1,cratered
45,validation,late_run,720.386552,765.268680,2246.953018,16662.725362,11156.178241,190.854702,substrate_grade_3,line_side_1,,clean
46,fit,salvage_run,786.123867,715.347722,1657.485219,18319.746359,12403.498258,226.822971,substrate_grade_3,line_side_2,,cratered
47,fit,salvage_run,960.081925,771.410545,1385.151302,18735.717294,12053.786947,196.184487,substrate_grade_4,line_side_2,pretreat_type_1,cratered
48,test,north_bay,1022.867747,732.944576,1604.568624,17935.806439,10951.340353,193.583816,substrate_grade_2,line_side_1,pretreat_type_2,
49,fit,late_run,843.284430,,1612.897078,18329.609803,11805.300704,196.679855,substrate_grade_3,line_side_2,pretreat_type_3,cratered
50,test,early_run,987.153821,622.499746,2091.314092,18180.699404,11289.991301,213.494334,substrate_grade_4,line_side_3,pretreat_type_3,
51,fit,salvage_run,1232.248080,811.986188,2108.528545,17082.245710,12289.223294,194.062069,substrate_grade_1,line_side_1,pretreat_type_2,cratered
52,fit,early_run,908.611063,661.815347,1592.603056,18231.917993,11152.455408,210.810072,substrate_grade_4,line_side_3,pretreat_type_3,cratered
53,fit,north_bay,1141.549673,720.448742,2266.845257,19184.901005,11659.746997,161.328514,substrate_grade_2,line_side_1,pretreat_type_1,clean
54,test,late_run,946.444534,740.810293,1630.271451,17865.613427,11543.757376,190.674407,substrate_grade_4,line_side_3,pretreat_type_3,
55,fit,early_run,1110.701461,711.268312,1682.715717,18474.245143,11929.696973,206.209720,substrate_grade_3,line_side_2,pretreat_type_3,cratered
56,fit,late_run,953.249502,,2143.905702,18723.243573,9705.619619,220.767027,substrate_grade_3,line_side_2,,cratered
57,fit,north_bay,866.906470,,1660.070965,18552.105875,10891.584893,182.874136,substrate_grade_4,line_side_2,pretreat_type_3,cratered
58,fit,salvage_run,982.476258,707.462304,1936.978881,18113.987556,11563.379285,207.565694,substrate_grade_2,line_side_3,pretreat_type_1,clean
59,fit,salvage_run,685.525744,785.335815,1778.784451,18312.556100,12195.097807,179.701955,substrate_grade_3,line_side_3,pretreat_type_3,clean
60,fit,middle_run,704.685326,756.501435,1909.598561,,10122.464411,243.714506,substrate_grade_2,line_side_1,pretreat_type_3,clean
61,test,early_run,1040.908456,763.630535,1739.171982,18605.970723,10509.459963,213.459776,substrate_grade_1,line_side_1,pretreat_type_1,
62,fit,south_bay,1062.660785,725.772130,1702.922787,17526.187345,12479.017583,194.533831,substrate_grade_1,line_side_1,pretreat_type_1,cratered
63,fit,north_bay,856.972939,690.456868,1763.282075,18411.082709,11721.361691,206.833164,substrate_grade_4,line_side_1,pretreat_type_2,cratered
64,fit,salvage_run,1042.898779,757.859951,1973.542241,18122.844001,10344.771287,190.809962,substrate_grade_2,line_side_2,pretreat_type_2,cratered
65,fit,early_run,948.842317,739.242411,1626.830033,17259.468972,11053.775595,184.535406,substrate_grade_3,line_side_1,pretreat_type_1,clean
66,fit,middle_run,1160.517914,,2036.716489,17438.991931,11767.345920,202.082489,substrate_grade_4,line_side_3,pretreat_type_1,cratered
67,fit,salvage_run,736.461457,767.353208,1418.692077,18887.274615,10353.112078,223.001668,substrate_grade_1,line_side_1,pretreat_type_1,clean
68,test,salvage_run,962.594685,759.020964,1991.896233,17274.270317,11306.143658,183.971379,substrate_grade_3,line_side_2,pretreat_type_1,
69,fit,south_bay,1053.105710,760.626791,1803.368061,17939.292417,10749.640469,187.672494,substrate_grade_1,line_side_1,pretreat_type_1,clean
70,test,north_bay,940.501903,,1727.652689,,12211.533543,213.327612,substrate_grade_2,line_side_2,pretreat_type_1,
71,validation,late_run,1007.413702,744.967231,1846.122985,18759.752551,10283.974638,207.106575,substrate_grade_2,line_side_2,pretreat_type_3,cratered
72,test,middle_run,844.694254,737.424189,1683.082933,17069.425430,10436.872946,223.703605,substrate_grade_3,line_side_2,pretreat_type_1,
73,validation,early_run,1185.275756,786.483329,1331.093108,16232.788107,10187.909943,179.515015,substrate_grade_1,line_side_1,pretreat_type_1,clean
74,test,early_run,1235.294719,771.444499,1377.401013,18583.725610,10055.512442,212.715661,substrate_grade_3,line_side_1,pretreat_type_1,
75,fit,middle_run,784.845434,681.689150,1666.280182,19239.529085,11502.791840,214.426249,substrate_grade_3,line_side_2,,cratered
76,validation,south_bay,827.839980,716.747337,2172.926881,18874.395760,10838.335019,191.924023,substrate_grade_2,line_side_1,pretreat_type_2,clean
77,fit,north_bay,1022.957636,745.666217,2021.885210,18897.469800,11323.981355,199.164986,substrate_grade_2,line_side_1,pretreat_type_3,clean
78,validation,middle_run,742.000402,692.458497,1575.771275,,13502.341385,206.218256,substrate_grade_1,line_side_1,pretreat_type_1,clean
79,validation,north_bay,1037.510294,737.107233,1885.187854,19057.751887,10193.730874,210.717710,substrate_grade_2,line_side_2,pretreat_type_1,clean
80,fit,salvage_run,858.220787,678.792058,2055.421446,18519.979695,12584.635394,218.823440,substrate_grade_3,line_side_2,pretreat_type_3,cratered
81,validation,south_bay,775.803113,705.516046,1778.661135,18746.383743,11136.000569,203.375386,substrate_grade_2,line_side_2,pretreat_type_3,cratered
82,fit,late_run,660.174829,759.316050,2054.008212,17525.919561,11892.838859,158.748819,substrate_grade_3,line_side_2,pretreat_type_3,cratered
83,fit,north_bay,1065.733597,743.132132,1876.811408,17887.467192,11204.745645,218.816315,substrate_grade_4,line_side_2,pretreat_type_1,cratered
84,fit,late_run,945.417866,680.532314,2132.568914,17873.603383,10931.478993,185.210151,substrate_grade_2,line_side_2,pretreat_type_3,clean
85,validation,early_run,1046.094201,763.789079,1735.965354,17398.180387,10901.916326,224.756315,substrate_grade_2,line_side_1,pretreat_type_1,clean
86,fit,south_bay,876.098673,756.750785,1837.825810,17855.877438,11801.473534,189.827180,substrate_grade_2,line_side_1,,clean
87,fit,north_bay,958.858462,,1918.558281,18463.580841,11934.032999,195.085979,substrate_grade_1,line_side_2,,cratered
88,validation,south_bay,1017.732307,747.590747,1609.398850,16450.645187,11667.485894,222.532756,substrate_grade_1,line_side_1,pretreat_type_1,clean
89,validation,middle_run,1278.180671,759.429124,2119.727872,17218.909923,8963.987045,224.618151,substrate_grade_3,line_side_1,pretreat_type_3,clean
90,test,early_run,644.233261,696.116922,2164.291524,19163.186671,10630.262228,198.829942,substrate_grade_4,line_side_3,pretreat_type_2,
91,test,early_run,1019.481365,748.558571,2010.435689,18674.111534,10093.586178,181.758526,substrate_grade_2,line_side_1,pretreat_type_1,
92,fit,middle_run,701.771715,699.937880,2037.907895,19558.271244,10621.303648,168.092515,substrate_grade_4,line_side_2,pretreat_type_3,cratered
93,test,middle_run,807.665788,720.177118,2362.191993,17125.461137,11167.715465,209.418354,substrate_grade_3,line_side_1,pretreat_type_2,
94,test,south_bay,1063.370540,677.524637,1598.061174,18281.734461,11596.088350,206.947626,substrate_grade_2,line_side_1,pretreat_type_1,
95,fit,north_bay,780.647577,638.820077,2008.995979,18475.765701,10474.732799,211.048581,substrate_grade_3,line_side_3,pretreat_type_3,clean
96,fit,salvage_run,1112.799870,720.157264,2133.679224,17813.487576,11323.501901,210.108213,substrate_grade_3,line_side_1,pretreat_type_1,cratered
97,test,salvage_run,757.689348,,2012.042736,18948.433962,9711.700691,207.354769,substrate_grade_2,line_side_2,pretreat_type_2,
98,fit,middle_run,935.573729,813.316449,1859.308802,17577.203287,12277.701897,177.706354,substrate_grade_2,line_side_1,pretreat_type_1,clean
99,fit,middle_run,1160.177494,710.303344,2266.712014,18250.601521,11592.772463,214.241902,substrate_grade_2,line_side_2,pretreat_type_1,cratered
100,fit,early_run,1083.933449,762.551164,1802.122360,18353.519359,11652.603851,187.965641,substrate_grade_2,line_side_2,pretreat_type_1,clean
101,fit,north_bay,940.260631,,2230.034595,18248.200905,11039.959556,153.907699,substrate_grade_2,line_side_3,pretreat_type_1,clean
102,fit,south_bay,975.498713,718.404133,1685.447838,17871.652525,11334.906127,235.101247,substrate_grade_1,line_side_2,pretreat_type_3,clean
103,fit,early_run,1072.378355,682.295779,1825.768601,17962.929888,10324.175484,211.573749,substrate_grade_3,line_side_3,pretreat_type_2,cratered
104,validation,north_bay,844.368676,718.669335,2015.554575,17867.120599,11078.767633,219.237711,substrate_grade_2,line_side_1,pretreat_type_3,clean
105,fit,north_bay,1015.938260,689.594525,1979.478689,17560.405333,10930.890989,194.633062,substrate_grade_2,line_side_2,pretreat_type_1,clean
106,test,south_bay,1119.792194,688.276880,1820.863121,17460.526545,12180.998710,202.086593,substrate_grade_3,line_side_2,pretreat_type_1,
107,fit,south_bay,814.809180,696.896277,1677.423936,,10918.339573,200.737719,substrate_grade_3,line_side_2,,cratered
108,fit,south_bay,1142.812447,697.962719,1706.970703,,11218.866984,192.566129,substrate_grade_3,line_side_2,,cratered
109,test,salvage_run,863.712139,684.405361,2003.201246,17753.065135,11558.488975,185.465692,substrate_grade_3,line_side_2,,
110,fit,north_bay,1081.401081,734.532499,2000.646454,17449.938210,12011.634770,229.173345,substrate_grade_1,line_side_1,pretreat_type_1,clean
111,validation,late_run,1017.758902,693.829116,1992.058027,18188.271153,12511.154277,207.738613,substrate_grade_3,line_side_2,pretreat_type_1,cratered
112,fit,south_bay,961.026511,716.223853,1934.619012,17521.584903,11156.476055,222.079051,substrate_grade_3,line_side_2,pretreat_type_3,clean
113,fit,salvage_run,1202.061435,691.451427,1400.868466,,11897.091159,234.358342,substrate_grade_3,line_side_2,pretreat_type_1,cratered
114,validation,salvage_run,885.240505,700.271615,2034.346787,17270.002105,11038.541100,185.809483,substrate_grade_2,line_side_2,,clean
115,test,north_bay,776.000378,704.171440,1668.727512,16293.120706,11841.149679,196.807052,substrate_grade_2,line_side_2,pretreat_type_3,
116,fit,salvage_run,1001.034416,795.717897,1676.308067,18357.701418,11569.711792,225.831014,substrate_grade_3,line_side_1,pretreat_type_1,clean
117,fit,early_run,1222.766617,755.548031,1899.815586,17823.725756,10115.714027,210.763970,substrate_grade_2,line_side_1,,clean
118,validation,middle_run,796.918522,759.185501,1619.447544,17488.434397,10765.723495,177.780679,substrate_grade_3,line_side_1,pretreat_type_2,clean
119,validation,late_run,922.206852,648.717594,1749.055294,17654.909082,13650.167690,219.737288,substrate_grade_2,line_side_2,pretreat_type_1,cratered
120,fit,late_run,1084.620510,726.742589,2018.372212,17777.835453,11272.548983,207.419262,substrate_grade_2,line_side_1,pretreat_type_1,clean
121,test,south_bay,1109.117493,717.942519,1947.184816,,11946.081093,161.842210,substrate_grade_2,line_side_2,pretreat_type_2,
122,fit,middle_run,861.320516,773.636806,1909.854390,18335.223885,9211.684147,206.612555,substrate_grade_3,line_side_3,pretreat_type_2,cratered
123,fit,middle_run,1261.524933,718.725180,1930.890164,18300.030123,10505.697747,230.566891,substrate_grade_3,line_side_2,pretreat_type_1,cratered
124,fit,salvage_run,869.971471,691.656848,2092.603388,18789.584544,12335.780210,205.227002,substrate_grade_2,line_side_2,pretreat_type_3,clean
125,test,salvage_run,867.704620,713.752500,2111.257627,18411.170613,9945.173518,216.416945,substrate_grade_1,line_side_2,pretreat_type_1,
126,fit,salvage_run,1196.087313,,1742.064885,17268.315026,11966.634631,218.071049,substrate_grade_2,line_side_1,pretreat_type_1,clean
127,fit,south_bay,1199.797849,734.894855,1717.774482,17806.915463,10268.011004,191.099946,substrate_grade_3,line_side_1,pretreat_type_3,clean
128,fit,north_bay,1143.778355,787.223942,2049.785699,18627.455869,11038.948023,213.620188,substrate_grade_2,line_side_1,pretreat_type_1,clean
129,fit,early_run,930.683442,781.522896,1770.698649,17603.373460,11464.286894,199.071880,substrate_grade_2,line_side_2,,clean
130,validation,south_bay,884.046361,763.816233,1900.698250,17936.863099,11499.420043,213.514971,substrate_grade_4,line_side_2,pretreat_type_1,clean
131,test,early_run,957.837021,688.446262,2178.264466,18396.417133,10320.121401,178.253950,substrate_grade_1,line_side_3,pretreat_type_1,
132,validation,middle_run,1109.219489,712.155272,1441.329192,18041.846387,10980.431873,225.664009,substrate_grade_4,line_side_2,pretreat_type_2,cratered
133,fit,north_bay,1062.356702,733.605472,1643.175088,18049.787088,11298.799200,187.759169,substrate_grade_1,line_side_2,pretreat_type_2,clean
134,test,late_run,916.885743,754.493765,1954.561639,17616.060674,11401.525482,230.906574,substrate_grade_2,line_side_2,pretreat_type_2,
135,fit,late_run,786.222070,697.170849,2061.411976,19339.026887,10109.433206,193.517935,substrate_grade_2,line_side_2,,cratered
136,fit,middle_run,881.456372,716.981704,1702.910363,18437.536986,10693.910401,203.723170,substrate_grade_3,line_side_2,pretreat_type_2,clean
137,fit,late_run,851.143217,678.410140,2054.732446,17880.780423,9760.980299,210.638624,substrate_grade_3,line_side_2,pretreat_type_3,cratered
138,test,salvage_run,1346.360808,,1789.952594,18430.819657,10681.754294,182.530761,substrate_grade_1,line_side_1,,
139,validation,salvage_run,756.895249,706.991740,1849.338886,18656.232911,10150.279317,180.510272,substrate_grade_2,line_side_3,pretreat_type_2,clean
140,test,south_bay,1000.866982,,1547.488016,18413.488587,10351.533986,198.346378,substrate_grade_1,line_side_2,pretreat_type_2,
141,fit,salvage_run,792.834306,725.743053,1949.791911,,11775.919051,223.489924,substrate_grade_2,line_side_3,pretreat_type_2,cratered
142,fit,salvage_run,1076.663105,779.328805,1896.851514,,11159.213545,163.327657,substrate_grade_1,line_side_1,pretreat_type_2,clean
143,test,south_bay,1020.711710,690.794621,1807.593429,18858.302036,11837.962977,209.531887,substrate_grade_2,line_side_3,pretreat_type_1,
144,fit,salvage_run,1074.583584,788.159846,1750.262640,17718.171108,10764.119600,218.188593,substrate_grade_4,line_side_1,pretreat_type_1,cratered
145,test,middle_run,1101.605266,761.235723,1528.675597,18297.971933,12055.628207,198.992785,substrate_grade_1,line_side_2,pretreat_type_1,
146,fit,salvage_run,992.738713,714.954647,1793.733434,,11236.673944,196.801319,substrate_grade_2,line_side_3,pretreat_type_1,cratered
147,fit,north_bay,824.435377,763.253283,1132.917242,17797.307970,11551.195797,178.053202,substrate_grade_1,line_side_1,pretreat_type_1,clean
148,fit,north_bay,1010.380879,755.366843,1874.054077,18246.091016,11370.215201,199.496730,substrate_grade_1,line_side_1,pretreat_type_3,clean
149,fit,middle_run,1129.524288,745.415862,1507.071170,17690.802396,9923.601952,210.394685,substrate_grade_1,line_side_1,pretreat_type_1,clean
150,fit,south_bay,856.389022,777.990195,1657.774658,17722.951813,10044.717176,229.318551,substrate_grade_2,line_side_3,pretreat_type_2,clean
151,test,north_bay,888.195853,,2057.260070,18594.633436,10432.967126,218.670833,substrate_grade_2,line_side_2,pretreat_type_1,
152,fit,middle_run,1009.220555,788.493479,1643.584741,18344.907076,9927.955843,202.360152,substrate_grade_3,line_side_2,pretreat_type_1,clean
153,fit,early_run,1168.190515,776.645570,2222.189847,17982.362741,11930.473482,181.412206,substrate_grade_2,line_side_1,pretreat_type_1,clean
154,fit,late_run,1022.723407,745.341750,1399.518957,18282.944063,12688.033331,207.760368,substrate_grade_3,line_side_2,pretreat_type_1,cratered
155,test,late_run,922.389951,646.020110,2060.340540,18925.545544,12733.239331,215.455316,substrate_grade_3,line_side_2,pretreat_type_3,
156,fit,south_bay,795.549168,733.139213,1591.725034,,12888.608753,191.490848,substrate_grade_2,line_side_1,pretreat_type_1,clean
157,fit,middle_run,945.349068,677.452709,1931.095424,18762.576671,11401.512301,218.468279,substrate_grade_3,line_side_1,pretreat_type_3,cratered
158,validation,late_run,750.230521,742.265671,1832.201156,19756.225072,10147.765898,195.042312,substrate_grade_2,line_side_1,pretreat_type_1,clean
159,test,north_bay,1054.425938,780.241972,1717.090935,18348.004158,10510.472662,200.840256,substrate_grade_2,line_side_1,pretreat_type_1,
160,fit,middle_run,842.280321,700.021216,1789.230369,18863.331839,12258.574337,214.274646,substrate_grade_4,line_side_3,pretreat_type_2,cratered
161,fit,south_bay,1063.949144,696.039945,2021.690121,19054.878124,11384.813123,169.938825,substrate_grade_2,line_side_2,pretreat_type_1,clean
162,fit,south_bay,746.392231,775.142030,1759.414561,19021.636418,11843.443821,172.938020,substrate_grade_1,line_side_1,,cratered
163,validation,early_run,949.343996,720.270988,2499.741388,19043.775898,9543.839257,224.098374,substrate_grade_4,line_side_3,pretreat_type_2,cratered
164,test,early_run,655.769161,750.881999,2267.885380,18451.900160,10253.731114,179.741843,substrate_grade_4,line_side_2,pretreat_type_2,
165,validation,south_bay,817.179921,709.944372,2017.422636,,10797.543209,171.023273,substrate_grade_2,line_side_3,pretreat_type_2,cratered
166,fit,south_bay,984.903179,674.740232,1818.146580,,11502.061935,221.729699,substrate_grade_3,line_side_1,,cratered
167,fit,north_bay,1085.499464,780.453330,1981.860672,18204.936160,10826.413203,209.332089,substrate_grade_3,line_side_1,pretreat_type_2,clean
168,fit,south_bay,803.961391,744.298212,1613.430399,18257.614419,10761.785286,205.198387,substrate_grade_2,line_side_3,pretreat_type_2,cratered
169,fit,early_run,1018.858786,732.167151,2163.397451,17022.938920,10132.068734,196.180133,substrate_grade_2,line_side_1,pretreat_type_2,clean
170,fit,south_bay,1018.706084,778.424813,1619.173682,18118.802430,10222.523718,205.971986,substrate_grade_1,line_side_1,pretreat_type_1,clean
171,fit,early_run,797.942410,756.801615,1657.205931,18673.391763,10994.861409,217.753359,substrate_grade_1,line_side_1,pretreat_type_1,clean
172,fit,south_bay,893.975926,778.537952,1267.512145,18393.944190,10072.125602,223.193320,substrate_grade_3,line_side_1,pretreat_type_3,clean
173,fit,early_run,871.423057,779.883565,1764.108243,16888.088847,11659.574340,214.256258,substrate_grade_2,line_side_2,pretreat_type_3,clean
174,validation,salvage_run,1129.578446,,1672.429965,18354.327528,11535.953577,206.043100,substrate_grade_4,line_side_2,pretreat_type_2,cratered
175,validation,late_run,1277.401679,780.556516,1776.998524,,10039.827441,178.148418,substrate_grade_2,line_side_1,pretreat_type_2,clean
176,fit,north_bay,1154.740030,783.361825,1768.331344,18751.871488,10583.079071,209.260734,substrate_grade_4,line_side_1,pretreat_type_1,clean
177,fit,north_bay,914.490925,704.709939,2008.737853,17536.975839,11093.650038,235.097039,substrate_grade_3,line_side_2,pretreat_type_1,cratered
178,fit,south_bay,975.627320,878.863727,1860.589741,18695.410589,9488.250475,169.998073,substrate_grade_1,line_side_1,pretreat_type_1,clean
179,fit,middle_run,979.871093,720.468956,1971.064583,17794.178404,10909.329499,194.728770,substrate_grade_2,line_side_2,pretreat_type_1,cratered
180,fit,salvage_run,694.737136,667.940451,1859.044190,19180.948893,10874.136770,186.012705,substrate_grade_3,line_side_1,pretreat_type_3,cratered
181,fit,south_bay,918.683758,724.455038,2063.225589,17790.298650,9958.298554,184.526548,substrate_grade_3,line_side_3,pretreat_type_2,cratered
182,fit,middle_run,630.631186,,2289.702422,18398.926793,10938.810563,215.966411,substrate_grade_4,line_side_2,pretreat_type_2,cratered
183,validation,north_bay,681.352951,709.662961,1782.839674,,11250.943772,239.556669,substrate_grade_2,line_side_1,pretreat_type_1,clean
184,fit,middle_run,1094.292823,761.550834,1717.487068,18464.000284,11022.283879,205.861205,substrate_grade_2,line_side_1,pretreat_type_1,clean
185,validation,early_run,835.903339,741.146087,1640.977568,18168.880151,9624.488647,205.861094,substrate_grade_2,line_side_2,pretreat_type_1,clean
186,fit,middle_run,873.645240,679.178378,1807.518463,18248.629388,11278.775949,195.986867,substrate_grade_3,line_side_3,pretreat_type_3,cratered
187,fit,south_bay,954.583689,740.949745,2172.858887,18204.064152,12006.972145,171.674380,substrate_grade_3,line_side_3,pretreat_type_2,cratered
188,fit,middle_run,748.402633,764.808136,1870.143599,18953.855145,11936.941241,217.291241,substrate_grade_1,line_side_2,pretreat_type_3,clean
189,fit,north_bay,1008.476874,,1979.668043,17718.404635,10603.777389,188.976641,substrate_grade_2,line_side_1,pretreat_type_1,clean
190,fit,south_bay,1047.603072,728.545146,1859.361261,17852.606660,10555.911594,210.248519,substrate_grade_4,line_side_1,pretreat_type_1,cratered
191,fit,late_run,959.049243,724.683731,1794.000619,18509.450181,11530.242430,219.841661,substrate_grade_3,line_side_1,pretreat_type_1,clean
192,test,early_run,1007.927737,747.832774,1518.613675,18522.970616,10998.790713,211.945975,substrate_grade_3,line_side_3,pretreat_type_1,
193,test,middle_run,766.133161,743.181032,1759.336675,17788.709193,10937.439047,183.601246,substrate_grade_3,line_side_1,pretreat_type_3,
194,fit,early_run,1093.085633,718.914441,1672.716676,,9716.467242,215.243030,substrate_grade_2,line_side_1,,clean
195,fit,north_bay,1006.691467,,2121.698461,19193.975665,10757.115457,213.592470,substrate_grade_2,line_side_3,pretreat_type_3,clean
196,validation,early_run,1172.684018,701.567385,1733.973219,18368.879467,9759.755475,173.580056,substrate_grade_3,line_side_2,pretreat_type_3,clean
197,fit,late_run,1075.264865,754.514537,1390.138581,17930.068911,10751.419692,234.121268,substrate_grade_3,line_side_2,pretreat_type_1,clean
198,fit,south_bay,1178.880331,750.209423,1836.947479,18421.476734,10099.553914,205.169180,substrate_grade_4,line_side_2,,clean
199,fit,south_bay,1208.063684,738.192321,1872.366907,18077.353127,11278.804238,188.935856,substrate_grade_4,line_side_2,pretreat_type_1,clean
200,validation,middle_run,1147.853012,682.001453,1817.934380,18872.942337,10419.477317,176.379792,substrate_grade_3,line_side_1,pretreat_type_3,clean
201,fit,south_bay,1128.297381,,1555.702223,17457.707758,9754.607012,192.904046,substrate_grade_3,line_side_1,,clean
202,fit,late_run,756.004860,747.113117,1713.259201,17454.989086,11001.646390,201.939062,substrate_grade_2,line_side_2,pretreat_type_1,cratered
203,fit,salvage_run,1053.599455,764.440723,1888.544269,17232.711135,11103.044358,186.316807,substrate_grade_2,line_side_2,pretreat_type_2,clean
