event_id,timestamp_utc,calendar_day,hour_utc,campaign,logger,position,user_feature_0,user_feature_1,user_feature_2,user_feature_3
ev0028,2019-11-28T14:31:58.908435+00:00,28,14,all,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,f97571b9c14a786aab269f0b427d2a85
ev0029,2019-11-28T15:00:25.235086+00:00,28,15,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,f97571b9c14a786aab269f0b427d2a85
ev0030,2019-11-28T15:02:47.936756+00:00,28,15,all,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9f4e8271d3d3014af5f35124c2de5082,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0031,2019-11-28T15:06:01.512532+00:00,28,15,women,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0032,2019-11-28T15:29:49.131502+00:00,28,15,men,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0033,2019-11-28T19:31:53.425635+00:00,28,19,all,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,9bde591ffaab8d54c457448e4dca6f53
ev0034,2019-11-28T20:23:43.515919+00:00,28,20,all,random,1,cef3390ed299c09874189c387777674a,2d03db5543b14483e52d761760686b64,719dab53a7560218a9d1f96b25d6fa32,9bde591ffaab8d54c457448e4dca6f53
ev0035,2019-11-28T20:39:35.887998+00:00,28,20,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0036,2019-11-28T22:19:39.860025+00:00,28,22,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0037,2019-11-28T22:32:17.270018+00:00,28,22,all,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,06128286bcc64b6a4b0fb7bc0328fe17
ev0038,2019-11-28T23:29:10.208345+00:00,28,23,all,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0039,2019-11-28T23:41:01.791268+00:00,28,23,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0040,2019-11-29T00:38:02.583157+00:00,29,0,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,302deff13f835d731df1c842eed95971,f97571b9c14a786aab269f0b427d2a85
ev0041,2019-11-29T00:46:40.038176+00:00,29,0,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0042,2019-11-29T01:18:36.493938+00:00,29,1,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0043,2019-11-29T01:19:25.850662+00:00,29,1,men,random,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0044,2019-11-29T02:04:35.683623+00:00,29,2,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,05b76f5e97e51128862059ac7df9e42a
ev0045,2019-11-29T02:06:01.810268+00:00,29,2,all,random,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,06128286bcc64b6a4b0fb7bc0328fe17
ev0046,2019-11-29T03:07:58.188408+00:00,29,3,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0047,2019-11-29T04:22:07.494141+00:00,29,4,women,random,2,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0048,2019-11-29T04:57:53.673615+00:00,29,4,women,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,9bde591ffaab8d54c457448e4dca6f53
ev0049,2019-11-29T05:15:53.971122+00:00,29,5,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,06128286bcc64b6a4b0fb7bc0328fe17
ev0050,2019-11-29T06:21:16.890457+00:00,29,6,women,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,f1c2d6a32ec39249160cf784b63f4c6f,2723d2eb8bba04e0362098011fa3997b,f97571b9c14a786aab269f0b427d2a85
ev0051,2019-11-29T06:22:05.628683+00:00,29,6,men,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,f97571b9c14a786aab269f0b427d2a85
ev0052,2019-11-29T06:44:02.232841+00:00,29,6,all,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,9b2d331c329ceb74d3dcfb48d8798c78,f97571b9c14a786aab269f0b427d2a85
ev0053,2019-11-29T07:07:09.325319+00:00,29,7,women,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0054,2019-11-29T08:17:06.401744+00:00,29,8,all,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0055,2019-11-29T08:20:24.720030+00:00,29,8,all,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0056,2019-11-29T09:08:26.806670+00:00,29,9,all,random,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0057,2019-11-29T09:19:38.426598+00:00,29,9,women,bts,2,cef3390ed299c09874189c387777674a,2d03db5543b14483e52d761760686b64,c2e4f76cdbabecd33b8c762aeef386b3,f97571b9c14a786aab269f0b427d2a85
ev0058,2019-11-29T09:40:15.538435+00:00,29,9,all,bts,2,4ae385d792f81dde128124a925a830de,2d03db5543b14483e52d761760686b64,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0059,2019-11-29T10:30:28.165500+00:00,29,10,men,random,3,cef3390ed299c09874189c387777674a,2d03db5543b14483e52d761760686b64,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53
ev0060,2019-11-29T10:37:54.634242+00:00,29,10,women,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,6ff54aa8ff7a9dde75161c20a3ee4231,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0061,2019-11-29T11:13:54.150863+00:00,29,11,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0062,2019-11-29T11:14:00.625396+00:00,29,11,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0063,2019-11-29T11:26:29.884345+00:00,29,11,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0064,2019-11-29T11:31:31.693462+00:00,29,11,men,random,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0065,2019-11-29T12:13:09.241200+00:00,29,12,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53
ev0066,2019-11-29T12:20:14.534758+00:00,29,12,women,random,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,06128286bcc64b6a4b0fb7bc0328fe17
ev0067,2019-11-29T12:36:24.870402+00:00,29,12,all,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0068,2019-11-29T13:05:31.504134+00:00,29,13,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0069,2019-11-29T14:22:10.097669+00:00,29,14,all,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0070,2019-11-29T14:44:40.337341+00:00,29,14,women,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0071,2019-11-29T15:07:40.165565+00:00,29,15,women,bts,3,4ae385d792f81dde128124a925a830de,6ff54aa8ff7a9dde75161c20a3ee4231,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0072,2019-11-29T15:07:48.075562+00:00,29,15,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,9bde591ffaab8d54c457448e4dca6f53
ev0073,2019-11-29T15:11:54.474200+00:00,29,15,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,f97571b9c14a786aab269f0b427d2a85
ev0074,2019-11-29T15:16:36.267420+00:00,29,15,all,random,2,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0075,2019-11-29T15:22:49.666090+00:00,29,15,all,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53
ev0076,2019-11-29T16:01:43.238586+00:00,29,16,all,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0077,2019-11-29T16:15:13.252275+00:00,29,16,women,random,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,302deff13f835d731df1c842eed95971,9bde591ffaab8d54c457448e4dca6f53
ev0078,2019-11-29T17:24:19.510181+00:00,29,17,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0079,2019-11-29T20:41:58.645972+00:00,29,20,all,random,3,81ce123cbb5bd8ce818f60fb3586bba5,2d03db5543b14483e52d761760686b64,7bc94a2da491829b777c49c4b5e480f2,06128286bcc64b6a4b0fb7bc0328fe17
ev0080,2019-11-29T21:48:30.643376+00:00,29,21,women,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0081,2019-11-29T21:51:34.048129+00:00,29,21,women,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0082,2019-11-29T22:03:59.073681+00:00,29,22,all,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,9bde591ffaab8d54c457448e4dca6f53
ev0083,2019-11-30T00:34:06.028304+00:00,30,0,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,f97571b9c14a786aab269f0b427d2a85
ev0084,2019-11-30T00:41:12.411512+00:00,30,0,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53
ev0085,2019-11-30T01:19:51.996656+00:00,30,1,women,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,302deff13f835d731df1c842eed95971,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0086,2019-11-30T02:05:08.660551+00:00,30,2,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0087,2019-11-30T03:47:57.120290+00:00,30,3,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0088,2019-11-30T04:01:18.800001+00:00,30,4,women,random,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0089,2019-11-30T04:01:21.991504+00:00,30,4,women,random,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0090,2019-11-30T05:03:15.672730+00:00,30,5,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,302deff13f835d731df1c842eed95971,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0091,2019-11-30T05:09:36.683250+00:00,30,5,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0092,2019-11-30T05:28:16.515370+00:00,30,5,men,random,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0093,2019-11-30T06:16:22.257166+00:00,30,6,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,302deff13f835d731df1c842eed95971,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0094,2019-11-30T06:23:19.813805+00:00,30,6,men,random,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,f97571b9c14a786aab269f0b427d2a85
ev0095,2019-11-30T08:10:17.883314+00:00,30,8,women,random,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0096,2019-11-30T08:18:36.870002+00:00,30,8,women,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,c2e4f76cdbabecd33b8c762aeef386b3,f97571b9c14a786aab269f0b427d2a85
ev0097,2019-11-30T08:50:44.574696+00:00,30,8,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53
ev0098,2019-11-30T08:54:17.477109+00:00,30,8,men,random,1,cef3390ed299c09874189c387777674a,2d03db5543b14483e52d761760686b64,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0099,2019-11-30T09:27:10.239312+00:00,30,9,men,random,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,9bde591ffaab8d54c457448e4dca6f53
ev0100,2019-11-30T09:39:26.117844+00:00,30,9,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,f97571b9c14a786aab269f0b427d2a85
ev0101,2019-11-30T09:39:35.201805+00:00,30,9,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0102,2019-11-30T09:46:37.165895+00:00,30,9,women,bts,3,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,9b2d331c329ceb74d3dcfb48d8798c78,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0103,2019-11-30T10:22:59.829169+00:00,30,10,all,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0104,2019-11-30T10:38:05.042352+00:00,30,10,all,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0105,2019-11-30T11:03:19.437810+00:00,30,11,women,bts,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,06128286bcc64b6a4b0fb7bc0328fe17
ev0106,2019-11-30T11:27:51.426619+00:00,30,11,men,bts,2,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,9bde591ffaab8d54c457448e4dca6f53
ev0107,2019-11-30T11:57:30.162624+00:00,30,11,men,bts,1,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,2723d2eb8bba04e0362098011fa3997b,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0108,2019-11-30T12:12:29.900886+00:00,30,12,women,bts,2,4ae385d792f81dde128124a925a830de,6ff54aa8ff7a9dde75161c20a3ee4231,7bc94a2da491829b777c49c4b5e480f2,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0109,2019-11-30T12:27:56.435821+00:00,30,12,men,bts,3,cef3390ed299c09874189c387777674a,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,06128286bcc64b6a4b0fb7bc0328fe17
ev0110,2019-11-30T12:38:39.315098+00:00,30,12,all,random,1,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
ev0111,2019-11-30T13:13:55.244988+00:00,30,13,women,random,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,719dab53a7560218a9d1f96b25d6fa32,c39b0c7dd5d4eb9a18e7db6ba2f258f8
ev0112,2019-11-30T13:15:10.553427+00:00,30,13,women,bts,2,81ce123cbb5bd8ce818f60fb3586bba5,03a5648a76832f83c859d46bc06cb64a,7bc94a2da491829b777c49c4b5e480f2,9bde591ffaab8d54c457448e4dca6f53
